1,Dolnoslaski Oddzial Narodowego Funduszu Zdrowia we Wroclawiu,1
2,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
3,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
4,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
5,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
6,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
7,Warminsko-Mazurski Oddzial Narodowego Funduszu Zdrowia w Olsztynie,14
8,Slaski Oddzial Narodowego Funduszu Zdrowia w Katowicach,12
9,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
10,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
11,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
12,Pomorski Oddzial Narodowego Funduszu Zdrowia w Gdansku,11
13,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
14,Opolski Oddzial Narodowego Funduszu Zdrowia w Opolu,8
15,Lubelski Oddzial Narodowego Funduszu Zdrowia w Lublinie,3
16,Pomorski Oddzial Narodowego Funduszu Zdrowia w Gdansku,11
17,Lodzki Oddzial Narodowego Funduszu Zdrowia w Lodzi,5
18,Opolski Oddzial Narodowego Funduszu Zdrowia w Opolu,8
19,Podkarpacki Oddzial Narodowego Funduszu Zdrowia w Rzeszowie,9
20,Lodzki Oddzial Narodowego Funduszu Zdrowia w Lodzi,5
21,Warminsko-Mazurski Oddzial Narodowego Funduszu Zdrowia w Olsztynie,14
22,Warminsko-Mazurski Oddzial Narodowego Funduszu Zdrowia w Olsztynie,14
23,Zachodniopomorski Oddzial Narodowego Funduszu Zdrowia w Szczecinie,16
24,Warminsko-Mazurski Oddzial Narodowego Funduszu Zdrowia w Olsztynie,14
25,Zachodniopomorski Oddzial Narodowego Funduszu Zdrowia w Szczecinie,16
26,Slaski Oddzial Narodowego Funduszu Zdrowia w Katowicach,12
27,Dolnoslaski Oddzial Narodowego Funduszu Zdrowia we Wroclawiu,1
28,Slaski Oddzial Narodowego Funduszu Zdrowia w Katowicach,12
29,Opolski Oddzial Narodowego Funduszu Zdrowia w Opolu,8
30,Dolnoslaski Oddzial Narodowego Funduszu Zdrowia we Wroclawiu,1
31,Lubelski Oddzial Narodowego Funduszu Zdrowia w Lublinie,3
32,Opolski Oddzial Narodowego Funduszu Zdrowia w Opolu,8
33,Podkarpacki Oddzial Narodowego Funduszu Zdrowia w Rzeszowie,9
34,Pomorski Oddzial Narodowego Funduszu Zdrowia w Gdansku,11
35,Swietokrzyski Oddzial Narodowego Funduszu Zdrowia w Kielcach,13
36,Lubuski Oddzial Narodowego Funduszu Zdrowia w Zielonej Gorze,4
37,Lubelski Oddzial Narodowego Funduszu Zdrowia w Lublinie,3
38,Podkarpacki Oddzial Narodowego Funduszu Zdrowia w Rzeszowie,9
39,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
40,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
41,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
42,Lodzki Oddzial Narodowego Funduszu Zdrowia w Lodzi,5
43,Podkarpacki Oddzial Narodowego Funduszu Zdrowia w Rzeszowie,9
44,Lubuski Oddzial Narodowego Funduszu Zdrowia w Zielonej Gorze,4
45,Opolski Oddzial Narodowego Funduszu Zdrowia w Opolu,8
46,Lodzki Oddzial Narodowego Funduszu Zdrowia w Lodzi,5
47,Warminsko-Mazurski Oddzial Narodowego Funduszu Zdrowia w Olsztynie,14
48,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
49,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
50,Lubelski Oddzial Narodowego Funduszu Zdrowia w Lublinie,3
51,Swietokrzyski Oddzial Narodowego Funduszu Zdrowia w Kielcach,13
52,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
53,Zachodniopomorski Oddzial Narodowego Funduszu Zdrowia w Szczecinie,16
54,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
55,Lubuski Oddzial Narodowego Funduszu Zdrowia w Zielonej Gorze,4
56,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
57,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
58,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
59,Warminsko-Mazurski Oddzial Narodowego Funduszu Zdrowia w Olsztynie,14
60,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
61,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
62,Swietokrzyski Oddzial Narodowego Funduszu Zdrowia w Kielcach,13
63,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
64,Lodzki Oddzial Narodowego Funduszu Zdrowia w Lodzi,5
65,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
66,Zachodniopomorski Oddzial Narodowego Funduszu Zdrowia w Szczecinie,16
67,Lubuski Oddzial Narodowego Funduszu Zdrowia w Zielonej Gorze,4
68,Lubelski Oddzial Narodowego Funduszu Zdrowia w Lublinie,3
69,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
70,Pomorski Oddzial Narodowego Funduszu Zdrowia w Gdansku,11
71,Warminsko-Mazurski Oddzial Narodowego Funduszu Zdrowia w Olsztynie,14
72,Lubelski Oddzial Narodowego Funduszu Zdrowia w Lublinie,3
73,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
74,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
75,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
76,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
77,Dolnoslaski Oddzial Narodowego Funduszu Zdrowia we Wroclawiu,1
78,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
79,Kujawsko-Pomorski Oddzial Narodowego Funduszu Zdrowia w Bydgoszczy,2
80,Slaski Oddzial Narodowego Funduszu Zdrowia w Katowicach,12
81,Slaski Oddzial Narodowego Funduszu Zdrowia w Katowicach,12
82,Slaski Oddzial Narodowego Funduszu Zdrowia w Katowicach,12
83,Lubuski Oddzial Narodowego Funduszu Zdrowia w Zielonej Gorze,4
84,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
85,Swietokrzyski Oddzial Narodowego Funduszu Zdrowia w Kielcach,13
86,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
87,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
88,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
89,Slaski Oddzial Narodowego Funduszu Zdrowia w Katowicach,12
90,Swietokrzyski Oddzial Narodowego Funduszu Zdrowia w Kielcach,13
91,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
92,Pomorski Oddzial Narodowego Funduszu Zdrowia w Gdansku,11
93,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
94,Lodzki Oddzial Narodowego Funduszu Zdrowia w Lodzi,5
95,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
96,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
97,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
98,Lubuski Oddzial Narodowego Funduszu Zdrowia w Zielonej Gorze,4
99,Podlaski Oddzial Narodowego Funduszu Zdrowia w Bialymstoku,10
100,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
