1,Adamed,25197,33074
2,Voxel Centrum,9903,19705
3,NZOZ Danea,1506,15109
4,Voxel Centrum,14840,561
5,Centrum Medyczno-Diagnostyczne,9182,12783
6,Voxel Centrum,24360,13030
7,Medican,17185,10161
8,Centrum Medyczno-Diagnostyczne,6757,22736
9,Centrum Medyczno-Diagnostyczne,26847,22068
10,NZOZ Danea,26199,30672
11,Klinika Kardiochirurgi,27800,38466
12,Red-Med,26115,38496
13,Podimed,6006,353
14,Prodimed,7314,2223
15,Optimed,340,6076
16,Centrum Medyczno-Diagnostyczne,10023,23812
17,Red-Med,19181,21902
18,NZOZ Danea,3738,25804
19,Centrum Medyczno-Diagnostyczne,21817,2735
20,Medican,6575,33645
21,Adamed,354,14652
22,Voxel Centrum,11984,37294
23,NZOZ Danea,25251,3899
24,Prodimed,13318,11937
25,Red-Med,26021,623
26,Centrum Medyczno-Diagnostyczne,2649,14118
27,Centrum Medyczno-Diagnostyczne,210,25021
28,Voxel Centrum,29696,26195
29,Adamed,15750,39777
30,Klinika Kardiochirurgi,16793,38975
31,Prodimed,21961,15178
32,Red-Med,1209,5730
33,Centrum Medyczno-Diagnostyczne,3346,20761
34,Voxel Centrum,13540,39694
35,Optimed,18267,32672
36,Medican,11215,30201
37,Unimed,14178,25442
38,Prodimed,9176,25
39,Unimed,29034,5285
40,Voxel Centrum,7143,15689
41,Unimed,29385,2656
42,Red-Med,23183,12399
43,Red-Med,5892,22224
44,Unimed,11701,26798
45,Medican,7152,6468
46,Klinika Kardiochirurgi,8761,24461
47,Podimed,13683,2796
48,Voxel Centrum,6956,34915
49,Podimed,22328,28072
50,Optimed,28574,21744
51,Centrum Medyczno-Diagnostyczne,12905,33027
52,Klinika Kardiochirurgi,6589,7723
53,Adamed,21443,19711
54,NZOZ Danea,7674,5700
55,Optimed,19933,32608
56,NZOZ Danea,1525,17799
57,Centrum Medyczno-Diagnostyczne,7511,10731
58,Unimed,21898,30767
59,Centrum Medyczno-Diagnostyczne,25342,7029
60,Unimed,17671,20566
61,Red-Med,7961,29050
62,NZOZ Danea,1995,20035
63,NZOZ Danea,11481,25956
64,Optimed,19392,33494
65,Klinika Kardiochirurgi,4746,6834
66,Medican,4362,39879
67,Red-Med,3473,26145
68,Adamed,29072,24253
69,Klinika Kardiochirurgi,22840,3152
70,NZOZ Danea,26718,19049
71,Optimed,27508,16573
72,Optimed,8397,20282
73,Voxel Centrum,24828,23128
74,Centrum Medyczno-Diagnostyczne,25547,22474
75,Klinika Kardiochirurgi,10285,23814
76,Centrum Medyczno-Diagnostyczne,6987,18198
77,Medican,28339,3342
78,Red-Med,17945,32238
79,Optimed,16355,34898
80,Red-Med,641,10665
81,NZOZ Danea,7123,3595
82,NZOZ Danea,24537,8198
83,NZOZ Danea,23092,36387
84,NZOZ Danea,27196,17412
85,Voxel Centrum,13285,6194
86,Adamed,28672,31012
87,Adamed,10118,26861
88,Podimed,2846,35362
89,Red-Med,23970,14986
90,Prodimed,4164,25539
91,Adamed,24867,1788
92,Unimed,3689,28114
93,Adamed,2947,27502
94,NZOZ Danea,21500,37176
95,Unimed,20584,14009
96,Unimed,29980,31278
97,Centrum Medyczno-Diagnostyczne,8720,30056
98,Medican,4845,24193
99,Voxel Centrum,27297,26771
100,Optimed,4536,4344
101,Optimed,16829,27684
102,Centrum Medyczno-Diagnostyczne,14871,10481
103,Voxel Centrum,21595,7043
104,Red-Med,22788,27999
105,Prodimed,26756,27209
106,Unimed,7127,27069
107,Adamed,4511,16496
108,Unimed,11332,14165
109,Adamed,14587,13801
110,Adamed,29662,16366
111,Centrum Medyczno-Diagnostyczne,5631,37242
112,NZOZ Danea,25904,26834
113,Medican,4140,352
114,Prodimed,3607,32684
115,Voxel Centrum,28663,36570
116,Adamed,4232,12082
117,Red-Med,22003,6979
118,Optimed,8302,10923
119,Podimed,10858,29615
120,Optimed,29469,16111
121,Prodimed,2415,31480
122,Unimed,17397,31101
123,Adamed,19839,25245
124,NZOZ Danea,21122,8771
125,NZOZ Danea,11136,27435
126,Prodimed,9336,12411
127,Klinika Kardiochirurgi,11040,27158
128,Unimed,21625,8230
129,NZOZ Danea,11922,8488
130,Centrum Medyczno-Diagnostyczne,22249,22681
131,Centrum Medyczno-Diagnostyczne,21526,39363
132,Optimed,2930,37032
133,Prodimed,27275,13708
134,Red-Med,25422,32270
135,NZOZ Danea,283,1156
136,Klinika Kardiochirurgi,1558,3314
137,Centrum Medyczno-Diagnostyczne,1247,11614
138,Unimed,1791,8165
139,Voxel Centrum,4628,34523
140,Red-Med,21626,24806
141,Klinika Kardiochirurgi,14469,24131
142,Medican,16372,29483
143,Klinika Kardiochirurgi,17666,33583
144,Podimed,6726,30169
145,Voxel Centrum,6733,35542
146,Medican,11348,37693
147,Medican,7085,39221
148,Prodimed,24812,35890
149,Unimed,14633,24413
150,Unimed,12833,29237
151,Optimed,5205,32818
152,Adamed,16797,13033
153,Adamed,17677,4000
154,Unimed,18327,24377
155,Klinika Kardiochirurgi,18878,38372
156,Klinika Kardiochirurgi,12991,7525
157,Centrum Medyczno-Diagnostyczne,22349,24028
158,Medican,21852,30440
159,Klinika Kardiochirurgi,10190,17543
160,Klinika Kardiochirurgi,6243,8251
161,Podimed,15449,21726
162,Adamed,28313,34922
163,Voxel Centrum,18764,8123
164,Red-Med,11787,21191
165,Red-Med,24816,24435
166,Podimed,12960,8155
167,NZOZ Danea,20560,35275
168,Centrum Medyczno-Diagnostyczne,24736,497
169,Klinika Kardiochirurgi,27574,17284
170,Adamed,1390,13596
171,Adamed,5098,6097
172,Prodimed,9353,7879
173,Klinika Kardiochirurgi,28283,4742
174,Podimed,2152,26559
175,NZOZ Danea,16778,25598
176,Voxel Centrum,20655,22266
177,Unimed,22787,29335
178,Red-Med,23163,23125
179,Red-Med,9683,319
180,Red-Med,22229,9280
181,Optimed,11203,4204
182,Klinika Kardiochirurgi,27076,28829
183,NZOZ Danea,21315,4353
184,NZOZ Danea,9164,31820
185,NZOZ Danea,15462,7086
186,Optimed,19095,6995
187,Red-Med,15194,28637
188,Optimed,6044,11572
189,Medican,3892,9133
190,Unimed,26963,35290
191,Prodimed,19837,27479
192,Medican,4470,39592
193,Voxel Centrum,24004,10101
194,Adamed,11146,19664
195,Podimed,29600,35977
196,Optimed,3311,35602
197,Klinika Kardiochirurgi,10279,6469
198,Unimed,10839,6389
199,Unimed,15589,38
200,Klinika Kardiochirurgi,63,37272
201,Adamed,25496,3686
202,Podimed,9313,39744
203,NZOZ Danea,19741,673
204,Podimed,27118,4979
205,Red-Med,19803,19808
206,Centrum Medyczno-Diagnostyczne,19141,33030
207,Prodimed,25793,25715
208,Adamed,1543,1202
209,Optimed,11353,4559
210,Podimed,6169,9552
211,Klinika Kardiochirurgi,26772,20740
212,Medican,7758,10711
213,Prodimed,10462,30172
214,Klinika Kardiochirurgi,11555,38656
215,Adamed,20703,12330
216,Prodimed,26453,15317
217,Optimed,26631,5136
218,Prodimed,9504,14759
219,Adamed,20626,20309
220,Centrum Medyczno-Diagnostyczne,3396,6700
221,Optimed,28611,5002
222,Prodimed,9577,9070
223,Red-Med,28827,15636
224,Podimed,8271,36841
225,Prodimed,29021,32410
226,Podimed,25336,28839
227,Prodimed,9309,24376
228,Podimed,8120,35590
229,Adamed,18924,1582
230,Podimed,27688,34775
231,Podimed,25759,27499
232,NZOZ Danea,4594,8897
233,Centrum Medyczno-Diagnostyczne,25441,12308
234,NZOZ Danea,444,6268
235,Optimed,16868,32906
236,Unimed,10773,6699
237,Adamed,14155,35130
238,Adamed,2366,5890
239,NZOZ Danea,4634,6403
240,Unimed,11116,29195
241,Optimed,26139,14528
242,Centrum Medyczno-Diagnostyczne,9418,9917
243,Podimed,26048,10670
244,Medican,21125,9268
245,Unimed,873,7090
246,Red-Med,4618,13138
247,Voxel Centrum,21495,30699
248,Prodimed,19391,3936
249,Optimed,5615,20453
250,NZOZ Danea,9601,7528
251,Medican,25415,38029
252,Voxel Centrum,17304,2287
253,Adamed,3423,1593
254,Medican,1008,14077
255,Klinika Kardiochirurgi,5096,36526
256,Prodimed,4283,7893
257,Voxel Centrum,23176,8690
258,Prodimed,3324,1952
259,Unimed,24853,9046
260,Prodimed,20797,16666
261,Voxel Centrum,6138,1148
262,Optimed,19088,11078
263,Centrum Medyczno-Diagnostyczne,10691,28304
264,Adamed,14107,27908
265,Prodimed,6608,1
266,Podimed,20622,39159
267,Klinika Kardiochirurgi,12660,11112
268,Medican,23128,32134
269,Prodimed,27889,16123
270,Klinika Kardiochirurgi,8551,28447
271,Unimed,6627,5621
272,Voxel Centrum,16197,3432
273,NZOZ Danea,12487,3833
274,Voxel Centrum,26665,16872
275,Podimed,9915,20850
276,Centrum Medyczno-Diagnostyczne,4026,27523
277,NZOZ Danea,3755,8566
278,NZOZ Danea,6808,33013
279,Prodimed,11119,29093
280,Unimed,16214,12048
281,Optimed,26656,14721
282,Podimed,12636,12463
283,Medican,11577,17111
284,Medican,4966,36134
285,Optimed,22419,21507
286,NZOZ Danea,29062,3488
287,Podimed,279,30862
288,Podimed,9733,17835
289,Podimed,3846,25482
290,NZOZ Danea,18501,27764
291,Centrum Medyczno-Diagnostyczne,6087,2720
292,Unimed,29332,27680
293,Unimed,13631,5100
294,Prodimed,14702,29268
295,Centrum Medyczno-Diagnostyczne,22313,32682
296,Podimed,1585,8079
297,Medican,29465,30346
298,Adamed,10913,20519
299,Prodimed,28712,3110
300,Medican,13965,32089
301,Red-Med,21214,38716
302,Optimed,19087,12910
303,Optimed,16925,3106
304,Podimed,18318,4648
305,Optimed,3910,30228
306,Unimed,9217,10755
307,NZOZ Danea,2872,23637
308,Klinika Kardiochirurgi,27627,15158
309,Optimed,9656,28930
310,Optimed,7260,20855
311,Klinika Kardiochirurgi,14340,13972
312,Podimed,23166,6144
313,NZOZ Danea,13651,13600
314,Prodimed,25000,11790
315,Unimed,29694,16170
316,Podimed,17916,6739
317,NZOZ Danea,15985,5135
318,NZOZ Danea,20855,18592
319,Medican,8377,32654
320,Voxel Centrum,5817,6137
321,Voxel Centrum,22896,8327
322,NZOZ Danea,11147,18709
323,Klinika Kardiochirurgi,18297,14390
324,Optimed,8544,16392
325,Centrum Medyczno-Diagnostyczne,18229,25332
326,NZOZ Danea,5416,18181
327,Voxel Centrum,9473,1936
328,Voxel Centrum,2647,29071
329,Podimed,12710,12612
330,Adamed,9616,2291
331,Unimed,11908,35481
332,Voxel Centrum,29143,24102
333,Centrum Medyczno-Diagnostyczne,16060,30662
334,Unimed,24693,9197
335,Adamed,6813,29390
336,Red-Med,689,28249
337,Voxel Centrum,7658,33781
338,Prodimed,19841,33034
339,Adamed,13924,27848
340,Optimed,2532,6393
341,Red-Med,23014,13211
342,Medican,11401,4167
343,Adamed,326,15853
344,Voxel Centrum,8932,22279
345,Optimed,28458,16216
346,Unimed,26791,1479
347,Voxel Centrum,27751,10504
348,Adamed,8109,34758
349,Unimed,20654,37514
350,NZOZ Danea,7774,7661
351,Prodimed,28846,17474
352,Podimed,18638,164
353,Podimed,15741,15248
354,Adamed,15375,10208
355,Red-Med,3797,19122
356,Red-Med,10265,29261
357,Podimed,1609,14639
358,Centrum Medyczno-Diagnostyczne,21058,2276
359,NZOZ Danea,19271,34140
360,Red-Med,13349,33890
361,Optimed,13518,1053
362,Voxel Centrum,15384,30845
363,Optimed,21438,1893
364,Centrum Medyczno-Diagnostyczne,25383,10414
365,Red-Med,11126,23304
366,Centrum Medyczno-Diagnostyczne,12472,20183
367,Medican,14790,28877
368,Klinika Kardiochirurgi,2759,17070
369,NZOZ Danea,2825,23451
370,Klinika Kardiochirurgi,18040,31866
371,Medican,11560,21143
372,Klinika Kardiochirurgi,14168,29503
373,Medican,2763,26675
374,Unimed,706,21323
375,Adamed,18044,27430
376,Centrum Medyczno-Diagnostyczne,23618,38735
377,Voxel Centrum,4695,8073
378,Klinika Kardiochirurgi,10598,20214
379,Prodimed,7390,35099
380,Medican,22013,17108
381,Adamed,7809,12959
382,NZOZ Danea,15045,11319
383,Klinika Kardiochirurgi,18839,14487
384,Adamed,7403,22304
385,Podimed,3746,26896
386,Red-Med,18193,2876
387,Unimed,7168,24592
388,Medican,12845,3096
389,Optimed,11913,16188
390,Unimed,16667,18735
391,Unimed,5081,12827
392,Centrum Medyczno-Diagnostyczne,4044,1099
393,Prodimed,7492,36373
394,Podimed,1041,24345
395,Optimed,9008,1086
396,Unimed,24810,36775
397,NZOZ Danea,14278,13201
398,Adamed,7227,36459
399,Optimed,27556,2551
400,Optimed,29501,6351
401,Medican,17468,29109
402,Unimed,1929,9220
403,Podimed,358,13805
404,Optimed,18609,1314
405,Unimed,20146,38847
406,Voxel Centrum,6036,193
407,Voxel Centrum,26075,6934
408,Voxel Centrum,27979,26996
409,Unimed,12758,9005
410,NZOZ Danea,4064,39031
411,Centrum Medyczno-Diagnostyczne,7076,9074
412,Unimed,28214,39231
413,Optimed,19208,4130
414,Centrum Medyczno-Diagnostyczne,9610,31103
415,Prodimed,27432,26609
416,Optimed,6648,37467
417,Optimed,3234,31343
418,Adamed,781,12575
419,Prodimed,5939,35431
420,Red-Med,6460,16127
421,Adamed,10791,12637
422,NZOZ Danea,4484,12581
423,Centrum Medyczno-Diagnostyczne,25761,23589
424,Voxel Centrum,17218,20734
425,Centrum Medyczno-Diagnostyczne,9178,22754
426,Klinika Kardiochirurgi,16011,11654
427,Podimed,10890,21291
428,Prodimed,26612,403
429,Podimed,18961,28920
430,Voxel Centrum,24518,25436
431,Voxel Centrum,15960,31388
432,Centrum Medyczno-Diagnostyczne,5625,20342
433,Unimed,7946,31507
434,Red-Med,10205,16771
435,Optimed,3963,35768
436,Optimed,21558,39375
437,Red-Med,7017,19882
438,Prodimed,13788,24089
439,Red-Med,14132,35950
440,Centrum Medyczno-Diagnostyczne,20917,37569
441,Red-Med,15928,31259
442,NZOZ Danea,240,10586
443,Centrum Medyczno-Diagnostyczne,6803,17494
444,Optimed,19888,12121
445,Klinika Kardiochirurgi,15937,16245
446,Red-Med,7061,19167
447,Podimed,11752,12997
448,Centrum Medyczno-Diagnostyczne,27296,37338
449,Unimed,2881,34647
450,Centrum Medyczno-Diagnostyczne,26485,25018
451,Unimed,25467,22913
452,Medican,982,30638
453,Prodimed,2756,9085
454,Unimed,25986,1015
455,Optimed,5232,2524
456,Prodimed,19667,14323
457,NZOZ Danea,5584,4964
458,Red-Med,20044,27321
459,Unimed,8707,24421
460,Unimed,5932,35496
461,NZOZ Danea,27064,32204
462,Klinika Kardiochirurgi,22614,22327
463,Medican,5795,27969
464,NZOZ Danea,1021,8314
465,Podimed,10375,9891
466,Klinika Kardiochirurgi,22859,14874
467,Unimed,20342,37200
468,Podimed,2923,22861
469,Voxel Centrum,18578,31269
470,Adamed,19197,29058
471,Podimed,19533,25517
472,Adamed,8128,3938
473,Adamed,4650,32357
474,Klinika Kardiochirurgi,19308,12299
