1,Zabiegi,39,265,45
2,Wizyty kontrolne,87,183,49
3,Badania,71,163,93
4,Wizyty,76,28,42
5,Badania,91,338,27
6,Wizyty,58,246,96
7,Badania,88,41,49
8,Wizyty,66,374,2
9,Wizyty,22,331,40
10,Wizyty kontrolne,15,162,55
11,Zabiegi,39,175,10
12,Badania,90,136,1
13,Wizyty kontrolne,21,357,13
14,Wizyty kontrolne,17,128,33
15,Zabiegi,74,33,78
16,Wizyty kontrolne,50,188,59
17,Badania,98,40,60
18,Badania,62,394,96
19,Zabiegi,99,259,88
20,Wizyty,96,198,10
21,Badania,84,227,65
22,Wizyty kontrolne,38,317,12
23,Zabiegi,39,5,63
24,Zabiegi,44,334,10
25,Zabiegi,54,134,18
26,Wizyty,52,262,58
27,Wizyty,41,228,51
28,Zabiegi,77,234,37
29,Wizyty kontrolne,65,105,43
30,Zabiegi,99,321,21
31,Badania,90,71,70
32,Wizyty kontrolne,20,318,70
33,Badania,13,46,18
34,Wizyty,96,282,3
35,Wizyty kontrolne,29,202,84
36,Zabiegi,99,111,80
37,Zabiegi,39,350,90
38,Wizyty kontrolne,83,305,72
39,Badania,62,391,69
40,Zabiegi,74,12,81
41,Zabiegi,80,0,70
42,Wizyty kontrolne,24,377,85
43,Badania,56,82,24
44,Badania,91,169,79
45,Zabiegi,54,319,41
46,Zabiegi,33,257,1
47,Badania,91,340,32
48,Wizyty,12,1,79
49,Wizyty kontrolne,36,122,49
50,Wizyty kontrolne,30,57,21
51,Zabiegi,77,271,14
52,Wizyty,83,203,35
53,Zabiegi,39,53,82
54,Wizyty kontrolne,17,212,53
55,Wizyty kontrolne,27,247,79
56,Badania,71,152,95
57,Wizyty,22,22,7
58,Zabiegi,99,38,81
59,Wizyty kontrolne,52,264,27
60,Badania,62,15,57
61,Wizyty,29,59,95
62,Wizyty,78,342,67
63,Zabiegi,80,378,17
64,Wizyty,82,336,33
65,Wizyty kontrolne,89,270,95
66,Zabiegi,77,326,75
67,Wizyty kontrolne,30,302,82
68,Wizyty,82,293,28
69,Wizyty,14,307,31
70,Wizyty,35,58,56
71,Wizyty kontrolne,59,208,37
72,Badania,71,220,71
73,Wizyty,35,4,88
74,Wizyty kontrolne,76,320,78
75,Badania,100,221,28
76,Wizyty,60,345,42
77,Wizyty,55,99,85
78,Badania,88,330,53
79,Wizyty,26,383,17
80,Wizyty,36,35,35
81,Wizyty,93,179,96
82,Wizyty,32,343,93
83,Wizyty,67,395,51
84,Wizyty kontrolne,75,201,13
85,Badania,13,135,25
86,Wizyty kontrolne,15,250,8
87,Wizyty kontrolne,45,77,32
88,Badania,84,70,5
89,Badania,97,267,52
90,Badania,62,238,24
91,Badania,62,206,98
92,Wizyty kontrolne,52,161,70
93,Wizyty kontrolne,29,172,39
94,Zabiegi,77,9,85
95,Wizyty kontrolne,29,114,16
96,Badania,13,279,7
97,Wizyty,18,171,28
98,Wizyty,50,251,18
99,Zabiegi,77,263,67
100,Zabiegi,77,110,25
