1,Podkarpacki Oddzial Narodowego Funduszu Zdrowia w Rzeszowie,9
2,Zachodniopomorski Oddzial Narodowego Funduszu Zdrowia w Szczecinie,16
3,Opolski Oddzial Narodowego Funduszu Zdrowia w Opolu,8
4,Mazowiecki Oddzial Narodowego Funduszu Zdrowia w Warszawie,7
5,Pomorski Oddzial Narodowego Funduszu Zdrowia w Gdansku,11
6,Wielkopolski Oddzial Narodowego Funduszu Zdrowia w Poznaniu,15
7,Malopolski Oddzial Narodowego Funduszu Zdrowia w Krakowie,6
8,Podkarpacki Oddzial Narodowego Funduszu Zdrowia w Rzeszowie,9
9,Pomorski Oddzial Narodowego Funduszu Zdrowia w Gdansku,11
10,Dolnoslaski Oddzial Narodowego Funduszu Zdrowia we Wroclawiu,1
