1,Wizyty,2879,27589,1347
2,Wizyty,1493,4990,4452
3,Badania,8535,24034,5135
4,Wizyty kontrolne,7368,10406,6315
5,Badania,8686,1133,4882
6,Wizyty kontrolne,1481,34139,9909
7,Wizyty kontrolne,2694,25160,8621
8,Wizyty,1398,13329,5471
9,Badania,8839,19144,347
10,Badania,1944,7627,786
11,Zabiegi,9056,37618,2977
12,Badania,7400,34146,974
13,Zabiegi,2727,22655,6990
14,Zabiegi,3817,24510,5152
15,Badania,6888,16792,8362
16,Zabiegi,5254,33434,2350
17,Wizyty kontrolne,2593,11161,3048
18,Wizyty,6246,6019,199
19,Wizyty kontrolne,2414,34833,6581
20,Wizyty kontrolne,3388,10329,1589
21,Badania,9354,24640,4040
22,Wizyty kontrolne,3359,38093,780
23,Wizyty,7118,22962,8043
24,Wizyty,5970,16954,9685
25,Wizyty kontrolne,5030,8349,4238
26,Wizyty kontrolne,2849,36423,1726
27,Badania,4399,14063,1757
28,Wizyty kontrolne,8332,23556,1830
29,Zabiegi,170,21749,856
30,Wizyty,9460,285,918
31,Wizyty kontrolne,5582,26634,4446
32,Wizyty kontrolne,64,35369,7479
33,Zabiegi,5873,8335,7027
34,Wizyty kontrolne,8837,38502,9268
35,Wizyty,926,14578,9931
36,Zabiegi,7325,17791,5083
37,Wizyty,3753,30633,5836
38,Wizyty kontrolne,3981,3592,7500
39,Zabiegi,8250,15350,687
40,Wizyty kontrolne,2816,33725,3287
41,Badania,870,16418,6208
42,Zabiegi,4161,12872,9042
43,Wizyty,9262,20035,377
44,Wizyty kontrolne,3730,19386,2945
45,Zabiegi,9439,35512,4890
46,Wizyty,9097,30223,5003
47,Badania,1405,19433,5043
48,Badania,5607,3820,107
49,Wizyty kontrolne,7226,29129,6248
50,Wizyty,7847,4898,8156
51,Wizyty kontrolne,4267,16662,5212
52,Wizyty kontrolne,5207,18410,2844
53,Wizyty,284,13909,4022
54,Zabiegi,548,16488,7881
55,Wizyty kontrolne,6449,38680,2526
56,Zabiegi,4288,24617,5766
57,Zabiegi,5051,28537,6736
58,Zabiegi,567,15335,5415
59,Zabiegi,208,13662,1335
60,Badania,1772,37505,4240
61,Badania,6350,19893,5443
