statusy_wizyt_id,status,opis
1,Zakonczona,
2,Zakonczona,
3,Zakonczona,
4,Zakonczona,
5,Zakonczona,
6,Zakonczona,
7,Zakonczona,
8,Zakonczona,
9,Zakonczona,
10,Zakonczona,
11,Zakonczona,
12,Zakonczona,
13,Zakonczona,
14,Zakonczona,
15,Zakonczona,
16,Zakonczona,
17,Zakonczona,
18,Zakonczona,
19,Zakonczona,
20,Zakonczona,
21,Zakonczona,
22,Zakonczona,
23,Zakonczona,
24,Zakonczona,
25,Zakonczona,
26,Zakonczona,
27,Zakonczona,
28,Oczekujaca,
29,Zakonczona,
30,Zakonczona,
31,Odwolana,
32,Zakonczona,
33,Zakonczona,
34,Zakonczona,
35,Zakonczona,
36,Zakonczona,
37,Zakonczona,
38,Zakonczona,
39,Zakonczona,
40,Zakonczona,
41,Zakonczona,
42,Zakonczona,
43,Zakonczona,
44,Odwolana,
45,Zakonczona,
46,Zakonczona,
47,Zakonczona,
48,Zakonczona,
49,Oczekujaca,
50,Zakonczona,
51,Zakonczona,
52,Zakonczona,
53,Zakonczona,
54,Odwolana,
55,Zakonczona,
56,Zakonczona,
57,Zakonczona,
58,Zakonczona,
59,Zakonczona,
60,Zakonczona,
61,Zakonczona,
62,Zakonczona,
63,Zakonczona,
64,Odwolana,
65,Oczekujaca,
66,Zakonczona,
67,Zakonczona,
68,Zakonczona,
69,Zakonczona,
70,Zakonczona,
71,Zakonczona,
72,Zakonczona,
73,Zakonczona,
74,Zakonczona,
75,Zakonczona,
76,Zakonczona,
77,Zakonczona,
78,Zakonczona,
79,Zakonczona,
80,Zakonczona,
81,Zakonczona,
82,Zakonczona,
83,Zakonczona,
84,Odwolana,
85,Odwolana,
86,Zakonczona,
87,Zakonczona,
88,Zakonczona,
89,Zakonczona,
90,Zakonczona,
91,Zakonczona,
92,Zakonczona,
93,Odwolana,
94,Zakonczona,
95,Zakonczona,
96,Zakonczona,
97,Zakonczona,
98,Zakonczona,
99,Zakonczona,
100,Zakonczona,
101,Zakonczona,
102,Zakonczona,
103,Odwolana,
104,Zakonczona,
105,Zakonczona,
106,Zakonczona,
107,Zakonczona,
108,Zakonczona,
109,Zakonczona,
110,Zakonczona,
111,Zakonczona,
112,Zakonczona,
113,Zakonczona,
114,Zakonczona,
115,Zakonczona,
116,Zakonczona,
117,Zakonczona,
118,Zakonczona,
119,Zakonczona,
120,Zakonczona,
121,Zakonczona,
122,Oczekujaca,
123,Zakonczona,
124,Zakonczona,
125,Zakonczona,
126,Zakonczona,
127,Zakonczona,
128,Zakonczona,
129,Zakonczona,
130,Zakonczona,
131,Zakonczona,
132,Zakonczona,
133,Oczekujaca,
134,Zakonczona,
135,Zakonczona,
136,Zakonczona,
137,Zakonczona,
138,Zakonczona,
139,Zakonczona,
140,Zakonczona,
141,Zakonczona,
142,Odwolana,
143,Zakonczona,
144,Zakonczona,
145,Zakonczona,
146,Zakonczona,
147,Zakonczona,
148,Zakonczona,
149,Zakonczona,
150,Odwolana,
151,Zakonczona,
152,Zakonczona,
153,Zakonczona,
154,Zakonczona,
155,Zakonczona,
156,Zakonczona,
157,Oczekujaca,
158,Zakonczona,
159,Zakonczona,
160,Zakonczona,
161,Odwolana,
162,Zakonczona,
163,Zakonczona,
164,Zakonczona,
165,Zakonczona,
166,Zakonczona,
167,Zakonczona,
168,Zakonczona,
169,Zakonczona,
170,Zakonczona,
171,Zakonczona,
172,Zakonczona,
173,Zakonczona,
174,Zakonczona,
175,Zakonczona,
176,Zakonczona,
177,Zakonczona,
178,Odwolana,
179,Odwolana,
180,Zakonczona,
181,Zakonczona,
182,Zakonczona,
183,Zakonczona,
184,Zakonczona,
185,Zakonczona,
186,Zakonczona,
187,Odwolana,
188,Zakonczona,
189,Zakonczona,
190,Zakonczona,
191,Zakonczona,
192,Zakonczona,
193,Zakonczona,
194,Zakonczona,
