1,Prodimed,104,137
2,Unimed,119,23
3,Optimed,160,10
4,NZOZ Danea,56,289
5,Klinika Kardiochirurgi,231,291
6,Optimed,141,119
7,Unimed,234,147
8,Centrum Medyczno-Diagnostyczne,117,126
9,Podimed,40,332
10,Unimed,188,365
11,Red-Med,172,369
12,Podimed,55,389
13,NZOZ Danea,245,116
14,Podimed,147,16
15,Adamed,120,226
16,NZOZ Danea,257,67
17,Medican,48,188
18,Medican,114,242
19,Voxel Centrum,93,243
20,Centrum Medyczno-Diagnostyczne,92,376
21,Klinika Kardiochirurgi,76,275
22,Klinika Kardiochirurgi,50,215
23,Optimed,140,178
24,Adamed,108,65
25,Podimed,236,5
26,Unimed,289,205
27,Adamed,261,123
28,Red-Med,64,144
29,Optimed,154,11
30,Unimed,182,30
31,Centrum Medyczno-Diagnostyczne,187,39
32,Unimed,107,76
33,Klinika Kardiochirurgi,190,105
34,Medican,183,260
35,Unimed,125,329
36,Podimed,233,174
37,Podimed,103,151
38,Centrum Medyczno-Diagnostyczne,297,339
39,Red-Med,162,351
40,Red-Med,133,33
41,Centrum Medyczno-Diagnostyczne,281,283
42,Medican,159,95
43,Unimed,123,13
44,Adamed,223,154
45,Prodimed,197,273
46,Podimed,97,62
47,Optimed,205,346
48,Unimed,279,298
49,Medican,126,331
50,Unimed,94,322
51,Prodimed,134,150
52,Optimed,260,27
53,Adamed,284,51
54,Unimed,26,28
55,Podimed,204,272
56,Prodimed,52,237
57,Optimed,286,183
58,Voxel Centrum,63,209
59,Prodimed,229,399
60,Red-Med,45,197
61,Centrum Medyczno-Diagnostyczne,9,216
62,Medican,68,202
63,Podimed,20,166
64,Optimed,232,308
65,NZOZ Danea,267,357
66,Optimed,72,169
67,Adamed,89,333
68,Klinika Kardiochirurgi,95,44
69,Prodimed,42,326
70,Klinika Kardiochirurgi,138,232
71,Prodimed,7,124
72,Optimed,124,196
73,Adamed,85,156
74,Optimed,69,176
75,Klinika Kardiochirurgi,217,47
76,Prodimed,79,17
77,Red-Med,27,223
78,Medican,54,180
79,NZOZ Danea,201,328
80,Voxel Centrum,244,91
81,Adamed,164,8
82,Voxel Centrum,177,265
83,Prodimed,161,337
84,Unimed,175,56
85,Adamed,88,314
86,NZOZ Danea,137,323
87,Prodimed,235,335
88,Podimed,11,101
89,Podimed,75,330
90,Prodimed,249,79
91,Voxel Centrum,185,19
92,Red-Med,83,90
93,Prodimed,290,364
94,Podimed,19,204
95,NZOZ Danea,73,284
96,Red-Med,213,285
97,Red-Med,86,338
98,Podimed,166,277
99,Podimed,272,171
100,Unimed,251,233
