1,Dermatologia i wenerologia,1,300
2,Gastroenterologia dziecięca,1,300
3,Medycyna ratunkowa,1,300
4,Pediatria,2,600
5,Onkologia kliniczna,2,600
6,Hematologia,1,300
7,Ginekologia onkologiczna,1,300
8,Urologia dziecięca,2,600
9,Hematologia,2,600
10,Neonatologia,1,300
11,Chirurgia plastyczna,2,600
12,Ginekologia onkologiczna,1,300
13,Immunologia kliniczna,1,300
14,Urologia dziecięca,1,300
15,Neurochirurgia,1,300
16,Rehabilitacja medyczna,2,600
17,Medycyna sądowa,1,300
18,Położnictwo i ginekologia,2,600
19,Ortodoncja,2,600
20,Alergologia,1,300
21,Choroby płuc,2,600
22,Audiologia i foniatria,2,600
23,Perinatologia,1,300
24,Stomatologia dziecięca,1,300
25,Choroby zakaźne,1,300
26,Chirurgia ogólna,2,600
27,Nefrologia,2,600
28,Angiologia,2,600
29,Chirurgia stomatologiczna,2,600
30,Mikrobiologia lekarska,1,300
31,Gastroenterologia,2,600
32,Endokrynologia,1,300
33,Medycyna ratunkowa,1,300
34,Farmakologia kliniczna,2,600
35,Medycyna lotnicza,1,300
36,Medycyna lotnicza,1,300
37,Chirurgia onkologiczna,2,600
38,Ortopedia i traumatologia narządu ruchu,2,600
39,Rehabilitacja medyczna,2,600
40,Neurologia dziecięca,1,300
41,Protetyka stomatologiczna,1,300
42,Transplantologia kliniczna,1,300
43,Medycyna sądowa,2,600
44,Chirurgia naczyniowa,1,300
45,Reumatologia,2,600
46,Urologia dziecięca,2,600
47,Neonatologia,2,600
48,Choroby wewnętrzne,2,600
49,Ginekologia onkologiczna,1,300
50,Transfuzjologia kliniczna,1,300
51,Alergologia,1,300
52,Balneologia i medycyna fizykalna,2,600
53,Kardiologia dziecięca,2,600
54,Psychiatria,2,600
55,Diabetologia,2,600
56,Zdrowie publiczne,2,600
57,Kardiologia,2,600
58,Chirurgia onkologiczna,1,300
59,Angiologia,2,600
60,Perinatologia,2,600
61,Anestezjologia i intensywna terapia,2,600
62,Medycyna ratunkowa,1,300
63,Dermatologia i wenerologia,1,300
64,Reumatologia,1,300
65,Chirurgia stomatologiczna,1,300
66,Medycyna sądowa,2,600
67,Chirurgia plastyczna,1,300
68,Neurologia,2,600
69,Onkologia i hematologia dziecięca,1,300
70,Położnictwo i ginekologia,2,600
71,Alergologia,2,600
72,Hematologia,1,300
73,Choroby wewnętrzne,1,300
74,Patomorfologia,2,600
75,Diagnostyka laboratoryjna,1,300
76,Kardiochirurgia,1,300
77,Medycyna lotnicza,1,300
78,Urologia,1,300
79,Gastroenterologia dziecięca,2,600
80,Pediatria,2,600
81,Zdrowie publiczne,1,300
82,Neuropatologia,1,300
83,Endokrynologia,1,300
84,Medycyna sądowa,2,600
85,Nefrologia dziecięca,1,300
86,Neuropatologia,1,300
87,Kardiochirurgia,2,600
88,Ortodoncja,1,300
89,Chirurgia plastyczna,2,600
90,Genetyka kliniczna,2,600
91,Reumatologia,2,600
92,Genetyka kliniczna,2,600
93,Choroby zakaźne,1,300
94,Ortodoncja,1,300
95,Medycyna lotnicza,2,600
96,Epidemiologia,1,300
97,Chirurgia plastyczna,1,300
98,Medycyna morska i tropikalna,2,600
99,Urologia,2,600
100,Pediatria,1,300
